2020-11-25 00:04:58,682 training args:Namespace(cfg='./cfgs/vqa/base_4x16G_fp32_original.yaml', cudnn_off=False, dist=False, do_test=False, log_dir='./checkpoints/./output/vl-bert/vqa/base_4x16G_fp32_original/train2014+val2014_train/tensorboard_logs', model_dir='./checkpoints', partial_pretrain=None, slurm=False)

2020-11-25 00:04:58,687 training config:{'CHECKPOINT_FREQUENT': 1,
 'DATASET': {'ADD_IMAGE_AS_A_BOX': True,
             'NO_GROUNDING': False,
             'NO_OBJ_ATTENTION': False,
             'OUTPUT_CONV5': False,
             'PARTIAL_PRETRAIN': './model/pretrained_model/vl-bert-base-e2e.model',
             'PARTIAL_PRETRAIN_PREFIX_CHANGES': ['vlbert.mlm_head.predictions.transform->final_mlp.0',
                                                 'module.vlbert.mlm_head.predictions.transform->module.final_mlp.0',
                                                 'vlbert->vlbert',
                                                 'module.vlbert->module.vlbert'],
             'PIXEL_MEANS': [102.9801, 115.9465, 122.7717],
             'PIXEL_STDS': [1.0, 1.0, 1.0],
             'REPLACE_OBJECT_CHANGE_LABEL': True,
             'VLBERT': {'attention_probs_dropout_prob': 0.1,
                        'hidden_act': 'gelu',
                        'hidden_dropout_prob': 0.1,
                        'hidden_size': 768,
                        'initializer_range': 0.02,
                        'input_size': 1280,
                        'input_transform_type': 1,
                        'intermediate_size': 3072,
                        'max_position_embeddings': 512,
                        'num_attention_heads': 12,
                        'num_hidden_layers': 12,
                        'obj_pos_id_relative': True,
                        'object_word_embed_mode': 2,
                        'position_padding_idx': -1,
                        'type_vocab_size': 3,
                        'visual_ln': True,
                        'visual_scale_object_init': 0.0,
                        'visual_scale_text_init': 0.0,
                        'visual_size': 768,
                        'vocab_size': 30522,
                        'with_pooler': False,
                        'word_embedding_frozen': False}},
 'NUM_WORKERS_PER_GPU': 4,
 'OUTPUT_PATH': './checkpoints/./output/vl-bert/vqa',
 'RNG_SEED': 12345,
 'SCALES': [600, 1000],
 'TEST': {'BATCH_IMAGES': 64,
          'FLIP_PROB': 0,
          'SHUFFLE': False,
          'TEST_EPOCH': 0},
 'TRAIN': {'ASPECT_GROUPING': False,
           'AUTO_RESUME': True,
           'BATCH_IMAGES': 16,
           'BEGIN_EPOCH': 0,
           'CLIP_GRAD_NORM': 1.0,
           'END_EPOCH': 3,
           'FLIP_PROB': 0.5,
           'FP16': False,
           'FP16_LOSS_SCALE': 128.0,
           'GRAD_ACCUMULATE_STEPS': 1,
           'LOSS_LOGGERS': [('ans_loss', 'AnsLoss')],
           'LR': 6.25e-07,
           'LR_FACTOR': 0.1,
           'LR_MULT': [],
           'LR_SCHEDULE': 'triangle',
           'LR_STEP': [],
           'MOMENTUM': 0.9,
           'OPTIMIZER': 'AdamW',
           'RESUME': False,
           'SHUFFLE': False,
           'VISUAL_SCALE_CLIP_GRAD_NORM': -1,
           'VISUAL_SCALE_OBJECT_LR_MULT': 1.0,
           'VISUAL_SCALE_TEXT_LR_MULT': 1.0,
           'WARMUP': True,
           'WARMUP_FACTOR': 0.0,
           'WARMUP_METHOD': 'linear',
           'WARMUP_STEPS': 500,
           'WD': 0.0001},
 'VAL': {'BATCH_IMAGES': 64, 'FLIP_PROB': 0, 'SHUFFLE': False},
 'VAL_FREQUENT': 1}

2020-11-25 00:04:58,816 loading vocabulary file ./model/pretrained_model/bert-base-uncased/vocab.txt
2020-11-25 00:05:06,894 >> Trainable Parameters:
2020-11-25 00:05:06,895 ---------------------------------------------------------------------------------------------------------------
2020-11-25 00:05:06,895 |Name                                                         |Dtype            |Shape           |#Params     |
2020-11-25 00:05:06,895 ---------------------------------------------------------------------------------------------------------------
2020-11-25 00:05:06,895 |image_feature_extractor.obj_downsample.1.weight              |torch.float32    |(768, 4096)     |3145728     |
2020-11-25 00:05:06,895 ---------------------------------------------------------------------------------------------------------------
2020-11-25 00:05:06,896 |image_feature_extractor.obj_downsample.1.bias                |torch.float32    |(768,)          |768         |
2020-11-25 00:05:06,896 ---------------------------------------------------------------------------------------------------------------
2020-11-25 00:05:06,896 |object_linguistic_embeddings.weight                          |torch.float32    |(1, 768)        |768         |
2020-11-25 00:05:06,896 ---------------------------------------------------------------------------------------------------------------
2020-11-25 00:05:06,896 |vlbert.word_embeddings.weight                                |torch.float32    |(30522, 768)    |23440896    |
2020-11-25 00:05:06,896 ---------------------------------------------------------------------------------------------------------------
2020-11-25 00:05:06,896 |vlbert.end_embedding.weight                                  |torch.float32    |(1, 768)        |768         |
2020-11-25 00:05:06,896 ---------------------------------------------------------------------------------------------------------------
2020-11-25 00:05:06,896 |vlbert.position_embeddings.weight                            |torch.float32    |(512, 768)      |393216      |
2020-11-25 00:05:06,896 ---------------------------------------------------------------------------------------------------------------
2020-11-25 00:05:06,896 |vlbert.token_type_embeddings.weight                          |torch.float32    |(3, 768)        |2304        |
2020-11-25 00:05:06,896 ---------------------------------------------------------------------------------------------------------------
2020-11-25 00:05:06,896 |vlbert.embedding_LayerNorm.weight                            |torch.float32    |(768,)          |768         |
2020-11-25 00:05:06,896 ---------------------------------------------------------------------------------------------------------------
2020-11-25 00:05:06,896 |vlbert.embedding_LayerNorm.bias                              |torch.float32    |(768,)          |768         |
2020-11-25 00:05:06,896 ---------------------------------------------------------------------------------------------------------------
2020-11-25 00:05:06,896 |vlbert.visual_ln_text.weight                                 |torch.float32    |(768,)          |768         |
2020-11-25 00:05:06,897 ---------------------------------------------------------------------------------------------------------------
2020-11-25 00:05:06,897 |vlbert.visual_ln_text.bias                                   |torch.float32    |(768,)          |768         |
2020-11-25 00:05:06,897 ---------------------------------------------------------------------------------------------------------------
2020-11-25 00:05:06,897 |vlbert.visual_ln_object.weight                               |torch.float32    |(768,)          |768         |
2020-11-25 00:05:06,897 ---------------------------------------------------------------------------------------------------------------
2020-11-25 00:05:06,897 |vlbert.visual_ln_object.bias                                 |torch.float32    |(768,)          |768         |
2020-11-25 00:05:06,897 ---------------------------------------------------------------------------------------------------------------
2020-11-25 00:05:06,897 |vlbert.encoder.layer.0.attention.self.query.weight           |torch.float32    |(768, 768)      |589824      |
2020-11-25 00:05:06,897 ---------------------------------------------------------------------------------------------------------------
2020-11-25 00:05:06,897 |vlbert.encoder.layer.0.attention.self.query.bias             |torch.float32    |(768,)          |768         |
2020-11-25 00:05:06,897 ---------------------------------------------------------------------------------------------------------------
2020-11-25 00:05:06,897 |vlbert.encoder.layer.0.attention.self.key.weight             |torch.float32    |(768, 768)      |589824      |
2020-11-25 00:05:06,897 ---------------------------------------------------------------------------------------------------------------
2020-11-25 00:05:06,897 |vlbert.encoder.layer.0.attention.self.key.bias               |torch.float32    |(768,)          |768         |
2020-11-25 00:05:06,897 ---------------------------------------------------------------------------------------------------------------
2020-11-25 00:05:06,897 |vlbert.encoder.layer.0.attention.self.value.weight           |torch.float32    |(768, 768)      |589824      |
2020-11-25 00:05:06,898 ---------------------------------------------------------------------------------------------------------------
2020-11-25 00:05:06,898 |vlbert.encoder.layer.0.attention.self.value.bias             |torch.float32    |(768,)          |768         |
2020-11-25 00:05:06,898 ---------------------------------------------------------------------------------------------------------------
2020-11-25 00:05:06,898 |vlbert.encoder.layer.0.attention.output.dense.weight         |torch.float32    |(768, 768)      |589824      |
2020-11-25 00:05:06,898 ---------------------------------------------------------------------------------------------------------------
2020-11-25 00:05:06,898 |vlbert.encoder.layer.0.attention.output.dense.bias           |torch.float32    |(768,)          |768         |
2020-11-25 00:05:06,898 ---------------------------------------------------------------------------------------------------------------
2020-11-25 00:05:06,898 |vlbert.encoder.layer.0.attention.output.LayerNorm.weight     |torch.float32    |(768,)          |768         |
2020-11-25 00:05:06,898 ---------------------------------------------------------------------------------------------------------------
2020-11-25 00:05:06,898 |vlbert.encoder.layer.0.attention.output.LayerNorm.bias       |torch.float32    |(768,)          |768         |
2020-11-25 00:05:06,898 ---------------------------------------------------------------------------------------------------------------
2020-11-25 00:05:06,898 |vlbert.encoder.layer.0.intermediate.dense.weight             |torch.float32    |(3072, 768)     |2359296     |
2020-11-25 00:05:06,898 ---------------------------------------------------------------------------------------------------------------
2020-11-25 00:05:06,898 |vlbert.encoder.layer.0.intermediate.dense.bias               |torch.float32    |(3072,)         |3072        |
2020-11-25 00:05:06,898 ---------------------------------------------------------------------------------------------------------------
2020-11-25 00:05:06,898 |vlbert.encoder.layer.0.output.dense.weight                   |torch.float32    |(768, 3072)     |2359296     |
2020-11-25 00:05:06,898 ---------------------------------------------------------------------------------------------------------------
2020-11-25 00:05:06,898 |vlbert.encoder.layer.0.output.dense.bias                     |torch.float32    |(768,)          |768         |
2020-11-25 00:05:06,898 ---------------------------------------------------------------------------------------------------------------
2020-11-25 00:05:06,899 |vlbert.encoder.layer.0.output.LayerNorm.weight               |torch.float32    |(768,)          |768         |
2020-11-25 00:05:06,899 ---------------------------------------------------------------------------------------------------------------
2020-11-25 00:05:06,899 |vlbert.encoder.layer.0.output.LayerNorm.bias                 |torch.float32    |(768,)          |768         |
2020-11-25 00:05:06,899 ---------------------------------------------------------------------------------------------------------------
2020-11-25 00:05:06,899 |vlbert.encoder.layer.1.attention.self.query.weight           |torch.float32    |(768, 768)      |589824      |
2020-11-25 00:05:06,899 ---------------------------------------------------------------------------------------------------------------
2020-11-25 00:05:06,899 |vlbert.encoder.layer.1.attention.self.query.bias             |torch.float32    |(768,)          |768         |
2020-11-25 00:05:06,899 ---------------------------------------------------------------------------------------------------------------
2020-11-25 00:05:06,899 |vlbert.encoder.layer.1.attention.self.key.weight             |torch.float32    |(768, 768)      |589824      |
2020-11-25 00:05:06,899 ---------------------------------------------------------------------------------------------------------------
2020-11-25 00:05:06,899 |vlbert.encoder.layer.1.attention.self.key.bias               |torch.float32    |(768,)          |768         |
2020-11-25 00:05:06,899 ---------------------------------------------------------------------------------------------------------------
2020-11-25 00:05:06,899 |vlbert.encoder.layer.1.attention.self.value.weight           |torch.float32    |(768, 768)      |589824      |
2020-11-25 00:05:06,899 ---------------------------------------------------------------------------------------------------------------
2020-11-25 00:05:06,899 |vlbert.encoder.layer.1.attention.self.value.bias             |torch.float32    |(768,)          |768         |
2020-11-25 00:05:06,899 ---------------------------------------------------------------------------------------------------------------
2020-11-25 00:05:06,899 |vlbert.encoder.layer.1.attention.output.dense.weight         |torch.float32    |(768, 768)      |589824      |
2020-11-25 00:05:06,899 ---------------------------------------------------------------------------------------------------------------
2020-11-25 00:05:06,899 |vlbert.encoder.layer.1.attention.output.dense.bias           |torch.float32    |(768,)          |768         |
2020-11-25 00:05:06,900 ---------------------------------------------------------------------------------------------------------------
2020-11-25 00:05:06,900 |vlbert.encoder.layer.1.attention.output.LayerNorm.weight     |torch.float32    |(768,)          |768         |
2020-11-25 00:05:06,900 ---------------------------------------------------------------------------------------------------------------
2020-11-25 00:05:06,900 |vlbert.encoder.layer.1.attention.output.LayerNorm.bias       |torch.float32    |(768,)          |768         |
2020-11-25 00:05:06,900 ---------------------------------------------------------------------------------------------------------------
2020-11-25 00:05:06,900 |vlbert.encoder.layer.1.intermediate.dense.weight             |torch.float32    |(3072, 768)     |2359296     |
2020-11-25 00:05:06,900 ---------------------------------------------------------------------------------------------------------------
2020-11-25 00:05:06,900 |vlbert.encoder.layer.1.intermediate.dense.bias               |torch.float32    |(3072,)         |3072        |
2020-11-25 00:05:06,900 ---------------------------------------------------------------------------------------------------------------
2020-11-25 00:05:06,900 |vlbert.encoder.layer.1.output.dense.weight                   |torch.float32    |(768, 3072)     |2359296     |
2020-11-25 00:05:06,900 ---------------------------------------------------------------------------------------------------------------
2020-11-25 00:05:06,900 |vlbert.encoder.layer.1.output.dense.bias                     |torch.float32    |(768,)          |768         |
2020-11-25 00:05:06,900 ---------------------------------------------------------------------------------------------------------------
2020-11-25 00:05:06,900 |vlbert.encoder.layer.1.output.LayerNorm.weight               |torch.float32    |(768,)          |768         |
2020-11-25 00:05:06,900 ---------------------------------------------------------------------------------------------------------------
2020-11-25 00:05:06,900 |vlbert.encoder.layer.1.output.LayerNorm.bias                 |torch.float32    |(768,)          |768         |
2020-11-25 00:05:06,900 ---------------------------------------------------------------------------------------------------------------
2020-11-25 00:05:06,900 |vlbert.encoder.layer.2.attention.self.query.weight           |torch.float32    |(768, 768)      |589824      |
2020-11-25 00:05:06,900 ---------------------------------------------------------------------------------------------------------------
2020-11-25 00:05:06,901 |vlbert.encoder.layer.2.attention.self.query.bias             |torch.float32    |(768,)          |768         |
2020-11-25 00:05:06,901 ---------------------------------------------------------------------------------------------------------------
2020-11-25 00:05:06,901 |vlbert.encoder.layer.2.attention.self.key.weight             |torch.float32    |(768, 768)      |589824      |
2020-11-25 00:05:06,901 ---------------------------------------------------------------------------------------------------------------
2020-11-25 00:05:06,901 |vlbert.encoder.layer.2.attention.self.key.bias               |torch.float32    |(768,)          |768         |
2020-11-25 00:05:06,901 ---------------------------------------------------------------------------------------------------------------
2020-11-25 00:05:06,901 |vlbert.encoder.layer.2.attention.self.value.weight           |torch.float32    |(768, 768)      |589824      |
2020-11-25 00:05:06,901 ---------------------------------------------------------------------------------------------------------------
2020-11-25 00:05:06,901 |vlbert.encoder.layer.2.attention.self.value.bias             |torch.float32    |(768,)          |768         |
2020-11-25 00:05:06,901 ---------------------------------------------------------------------------------------------------------------
2020-11-25 00:05:06,901 |vlbert.encoder.layer.2.attention.output.dense.weight         |torch.float32    |(768, 768)      |589824      |
2020-11-25 00:05:06,901 ---------------------------------------------------------------------------------------------------------------
2020-11-25 00:05:06,901 |vlbert.encoder.layer.2.attention.output.dense.bias           |torch.float32    |(768,)          |768         |
2020-11-25 00:05:06,901 ---------------------------------------------------------------------------------------------------------------
2020-11-25 00:05:06,901 |vlbert.encoder.layer.2.attention.output.LayerNorm.weight     |torch.float32    |(768,)          |768         |
2020-11-25 00:05:06,901 ---------------------------------------------------------------------------------------------------------------
2020-11-25 00:05:06,901 |vlbert.encoder.layer.2.attention.output.LayerNorm.bias       |torch.float32    |(768,)          |768         |
2020-11-25 00:05:06,902 ---------------------------------------------------------------------------------------------------------------
2020-11-25 00:05:06,902 |vlbert.encoder.layer.2.intermediate.dense.weight             |torch.float32    |(3072, 768)     |2359296     |
2020-11-25 00:05:06,902 ---------------------------------------------------------------------------------------------------------------
2020-11-25 00:05:06,902 |vlbert.encoder.layer.2.intermediate.dense.bias               |torch.float32    |(3072,)         |3072        |
2020-11-25 00:05:06,902 ---------------------------------------------------------------------------------------------------------------
2020-11-25 00:05:06,902 |vlbert.encoder.layer.2.output.dense.weight                   |torch.float32    |(768, 3072)     |2359296     |
2020-11-25 00:05:06,902 ---------------------------------------------------------------------------------------------------------------
2020-11-25 00:05:06,902 |vlbert.encoder.layer.2.output.dense.bias                     |torch.float32    |(768,)          |768         |
2020-11-25 00:05:06,902 ---------------------------------------------------------------------------------------------------------------
2020-11-25 00:05:06,902 |vlbert.encoder.layer.2.output.LayerNorm.weight               |torch.float32    |(768,)          |768         |
2020-11-25 00:05:06,902 ---------------------------------------------------------------------------------------------------------------
2020-11-25 00:05:06,902 |vlbert.encoder.layer.2.output.LayerNorm.bias                 |torch.float32    |(768,)          |768         |
2020-11-25 00:05:06,902 ---------------------------------------------------------------------------------------------------------------
2020-11-25 00:05:06,902 |vlbert.encoder.layer.3.attention.self.query.weight           |torch.float32    |(768, 768)      |589824      |
2020-11-25 00:05:06,902 ---------------------------------------------------------------------------------------------------------------
2020-11-25 00:05:06,902 |vlbert.encoder.layer.3.attention.self.query.bias             |torch.float32    |(768,)          |768         |
2020-11-25 00:05:06,903 ---------------------------------------------------------------------------------------------------------------
2020-11-25 00:05:06,903 |vlbert.encoder.layer.3.attention.self.key.weight             |torch.float32    |(768, 768)      |589824      |
2020-11-25 00:05:06,903 ---------------------------------------------------------------------------------------------------------------
2020-11-25 00:05:06,903 |vlbert.encoder.layer.3.attention.self.key.bias               |torch.float32    |(768,)          |768         |
2020-11-25 00:05:06,903 ---------------------------------------------------------------------------------------------------------------
2020-11-25 00:05:06,903 |vlbert.encoder.layer.3.attention.self.value.weight           |torch.float32    |(768, 768)      |589824      |
2020-11-25 00:05:06,903 ---------------------------------------------------------------------------------------------------------------
2020-11-25 00:05:06,903 |vlbert.encoder.layer.3.attention.self.value.bias             |torch.float32    |(768,)          |768         |
2020-11-25 00:05:06,903 ---------------------------------------------------------------------------------------------------------------
2020-11-25 00:05:06,903 |vlbert.encoder.layer.3.attention.output.dense.weight         |torch.float32    |(768, 768)      |589824      |
2020-11-25 00:05:06,903 ---------------------------------------------------------------------------------------------------------------
2020-11-25 00:05:06,903 |vlbert.encoder.layer.3.attention.output.dense.bias           |torch.float32    |(768,)          |768         |
2020-11-25 00:05:06,903 ---------------------------------------------------------------------------------------------------------------
2020-11-25 00:05:06,903 |vlbert.encoder.layer.3.attention.output.LayerNorm.weight     |torch.float32    |(768,)          |768         |
2020-11-25 00:05:06,903 ---------------------------------------------------------------------------------------------------------------
2020-11-25 00:05:06,903 |vlbert.encoder.layer.3.attention.output.LayerNorm.bias       |torch.float32    |(768,)          |768         |
2020-11-25 00:05:06,903 ---------------------------------------------------------------------------------------------------------------
2020-11-25 00:05:06,904 |vlbert.encoder.layer.3.intermediate.dense.weight             |torch.float32    |(3072, 768)     |2359296     |
2020-11-25 00:05:06,904 ---------------------------------------------------------------------------------------------------------------
2020-11-25 00:05:06,904 |vlbert.encoder.layer.3.intermediate.dense.bias               |torch.float32    |(3072,)         |3072        |
2020-11-25 00:05:06,904 ---------------------------------------------------------------------------------------------------------------
2020-11-25 00:05:06,904 |vlbert.encoder.layer.3.output.dense.weight                   |torch.float32    |(768, 3072)     |2359296     |
2020-11-25 00:05:06,904 ---------------------------------------------------------------------------------------------------------------
2020-11-25 00:05:06,904 |vlbert.encoder.layer.3.output.dense.bias                     |torch.float32    |(768,)          |768         |
2020-11-25 00:05:06,904 ---------------------------------------------------------------------------------------------------------------
2020-11-25 00:05:06,904 |vlbert.encoder.layer.3.output.LayerNorm.weight               |torch.float32    |(768,)          |768         |
2020-11-25 00:05:06,904 ---------------------------------------------------------------------------------------------------------------
2020-11-25 00:05:06,904 |vlbert.encoder.layer.3.output.LayerNorm.bias                 |torch.float32    |(768,)          |768         |
2020-11-25 00:05:06,904 ---------------------------------------------------------------------------------------------------------------
2020-11-25 00:05:06,904 |vlbert.encoder.layer.4.attention.self.query.weight           |torch.float32    |(768, 768)      |589824      |
2020-11-25 00:05:06,904 ---------------------------------------------------------------------------------------------------------------
2020-11-25 00:05:06,904 |vlbert.encoder.layer.4.attention.self.query.bias             |torch.float32    |(768,)          |768         |
2020-11-25 00:05:06,904 ---------------------------------------------------------------------------------------------------------------
2020-11-25 00:05:06,905 |vlbert.encoder.layer.4.attention.self.key.weight             |torch.float32    |(768, 768)      |589824      |
2020-11-25 00:05:06,905 ---------------------------------------------------------------------------------------------------------------
2020-11-25 00:05:06,905 |vlbert.encoder.layer.4.attention.self.key.bias               |torch.float32    |(768,)          |768         |
2020-11-25 00:05:06,905 ---------------------------------------------------------------------------------------------------------------
2020-11-25 00:05:06,905 |vlbert.encoder.layer.4.attention.self.value.weight           |torch.float32    |(768, 768)      |589824      |
2020-11-25 00:05:06,905 ---------------------------------------------------------------------------------------------------------------
2020-11-25 00:05:06,905 |vlbert.encoder.layer.4.attention.self.value.bias             |torch.float32    |(768,)          |768         |
2020-11-25 00:05:06,905 ---------------------------------------------------------------------------------------------------------------
2020-11-25 00:05:06,905 |vlbert.encoder.layer.4.attention.output.dense.weight         |torch.float32    |(768, 768)      |589824      |
2020-11-25 00:05:06,905 ---------------------------------------------------------------------------------------------------------------
2020-11-25 00:05:06,905 |vlbert.encoder.layer.4.attention.output.dense.bias           |torch.float32    |(768,)          |768         |
2020-11-25 00:05:06,905 ---------------------------------------------------------------------------------------------------------------
2020-11-25 00:05:06,905 |vlbert.encoder.layer.4.attention.output.LayerNorm.weight     |torch.float32    |(768,)          |768         |
2020-11-25 00:05:06,905 ---------------------------------------------------------------------------------------------------------------
2020-11-25 00:05:06,905 |vlbert.encoder.layer.4.attention.output.LayerNorm.bias       |torch.float32    |(768,)          |768         |
2020-11-25 00:05:06,905 ---------------------------------------------------------------------------------------------------------------
2020-11-25 00:05:06,905 |vlbert.encoder.layer.4.intermediate.dense.weight             |torch.float32    |(3072, 768)     |2359296     |
2020-11-25 00:05:06,906 ---------------------------------------------------------------------------------------------------------------
2020-11-25 00:05:06,906 |vlbert.encoder.layer.4.intermediate.dense.bias               |torch.float32    |(3072,)         |3072        |
2020-11-25 00:05:06,906 ---------------------------------------------------------------------------------------------------------------
2020-11-25 00:05:06,906 |vlbert.encoder.layer.4.output.dense.weight                   |torch.float32    |(768, 3072)     |2359296     |
2020-11-25 00:05:06,906 ---------------------------------------------------------------------------------------------------------------
2020-11-25 00:05:06,906 |vlbert.encoder.layer.4.output.dense.bias                     |torch.float32    |(768,)          |768         |
2020-11-25 00:05:06,906 ---------------------------------------------------------------------------------------------------------------
2020-11-25 00:05:06,906 |vlbert.encoder.layer.4.output.LayerNorm.weight               |torch.float32    |(768,)          |768         |
2020-11-25 00:05:06,906 ---------------------------------------------------------------------------------------------------------------
2020-11-25 00:05:06,906 |vlbert.encoder.layer.4.output.LayerNorm.bias                 |torch.float32    |(768,)          |768         |
2020-11-25 00:05:06,906 ---------------------------------------------------------------------------------------------------------------
2020-11-25 00:05:06,906 |vlbert.encoder.layer.5.attention.self.query.weight           |torch.float32    |(768, 768)      |589824      |
2020-11-25 00:05:06,906 ---------------------------------------------------------------------------------------------------------------
2020-11-25 00:05:06,906 |vlbert.encoder.layer.5.attention.self.query.bias             |torch.float32    |(768,)          |768         |
2020-11-25 00:05:06,906 ---------------------------------------------------------------------------------------------------------------
2020-11-25 00:05:06,906 |vlbert.encoder.layer.5.attention.self.key.weight             |torch.float32    |(768, 768)      |589824      |
2020-11-25 00:05:06,907 ---------------------------------------------------------------------------------------------------------------
2020-11-25 00:05:06,907 |vlbert.encoder.layer.5.attention.self.key.bias               |torch.float32    |(768,)          |768         |
2020-11-25 00:05:06,907 ---------------------------------------------------------------------------------------------------------------
2020-11-25 00:05:06,907 |vlbert.encoder.layer.5.attention.self.value.weight           |torch.float32    |(768, 768)      |589824      |
2020-11-25 00:05:06,907 ---------------------------------------------------------------------------------------------------------------
2020-11-25 00:05:06,907 |vlbert.encoder.layer.5.attention.self.value.bias             |torch.float32    |(768,)          |768         |
2020-11-25 00:05:06,907 ---------------------------------------------------------------------------------------------------------------
2020-11-25 00:05:06,907 |vlbert.encoder.layer.5.attention.output.dense.weight         |torch.float32    |(768, 768)      |589824      |
2020-11-25 00:05:06,907 ---------------------------------------------------------------------------------------------------------------
2020-11-25 00:05:06,907 |vlbert.encoder.layer.5.attention.output.dense.bias           |torch.float32    |(768,)          |768         |
2020-11-25 00:05:06,907 ---------------------------------------------------------------------------------------------------------------
2020-11-25 00:05:06,907 |vlbert.encoder.layer.5.attention.output.LayerNorm.weight     |torch.float32    |(768,)          |768         |
2020-11-25 00:05:06,907 ---------------------------------------------------------------------------------------------------------------
2020-11-25 00:05:06,907 |vlbert.encoder.layer.5.attention.output.LayerNorm.bias       |torch.float32    |(768,)          |768         |
2020-11-25 00:05:06,907 ---------------------------------------------------------------------------------------------------------------
2020-11-25 00:05:06,907 |vlbert.encoder.layer.5.intermediate.dense.weight             |torch.float32    |(3072, 768)     |2359296     |
2020-11-25 00:05:06,908 ---------------------------------------------------------------------------------------------------------------
2020-11-25 00:05:06,908 |vlbert.encoder.layer.5.intermediate.dense.bias               |torch.float32    |(3072,)         |3072        |
2020-11-25 00:05:06,908 ---------------------------------------------------------------------------------------------------------------
2020-11-25 00:05:06,908 |vlbert.encoder.layer.5.output.dense.weight                   |torch.float32    |(768, 3072)     |2359296     |
2020-11-25 00:05:06,908 ---------------------------------------------------------------------------------------------------------------
2020-11-25 00:05:06,908 |vlbert.encoder.layer.5.output.dense.bias                     |torch.float32    |(768,)          |768         |
2020-11-25 00:05:06,908 ---------------------------------------------------------------------------------------------------------------
2020-11-25 00:05:06,908 |vlbert.encoder.layer.5.output.LayerNorm.weight               |torch.float32    |(768,)          |768         |
2020-11-25 00:05:06,908 ---------------------------------------------------------------------------------------------------------------
2020-11-25 00:05:06,908 |vlbert.encoder.layer.5.output.LayerNorm.bias                 |torch.float32    |(768,)          |768         |
2020-11-25 00:05:06,908 ---------------------------------------------------------------------------------------------------------------
2020-11-25 00:05:06,908 |vlbert.encoder.layer.6.attention.self.query.weight           |torch.float32    |(768, 768)      |589824      |
2020-11-25 00:05:06,908 ---------------------------------------------------------------------------------------------------------------
2020-11-25 00:05:06,908 |vlbert.encoder.layer.6.attention.self.query.bias             |torch.float32    |(768,)          |768         |
2020-11-25 00:05:06,908 ---------------------------------------------------------------------------------------------------------------
